
 Version: 2.1
 Chunks: 1
 Start: 2026-05-11 17:48:39 (UTC)
 Duration: 600 s

 Event Type                              Count  Size (bytes) 
=============================================================
 jdk.ThreadPark                          39765       1482425
 jdk.NativeMethodSample                  28221        337037
 jdk.GCPhaseParallel                     11836        294723
 jdk.ObjectAllocationSample               6074         95920
 jdk.PromoteObjectInNewPLAB               2393         41474
 jdk.Checkpoint                           1125        718214
 jdk.NativeLibrary                        1051         92541
 jdk.SystemProcess                         828         87569
 jdk.ModuleExport                          695          7488
 jdk.BooleanFlag                           654         19469
 jdk.ThreadCPULoad                         626         10582
 jdk.ExceptionStatistics                   597          8323
 jdk.ResidentSetSize                       597         10676
 jdk.JavaThreadStatistics                  597          7130
 jdk.ClassLoadingStatistics                597          6533
 jdk.CompilerStatistics                    597         16682
 jdk.CPULoad                               596         11887
 jdk.TenuringDistribution                  390          4461
 jdk.ActiveSetting                         360         10031
 jdk.NetworkUtilization                    354          5374
 jdk.PromoteObjectOutsidePLAB              323          5206
 jdk.Deoptimization                        191          4635
 jdk.LongFlag                              182          5772
 jdk.ExecuteVMOperation                    160          2534
 jdk.ModuleRequire                         155          1550
 jdk.UnsignedLongFlag                      140          4637
 jdk.SafepointBegin                        122          1749
 jdk.DirectBufferStatistics                119          2850
 jdk.MetaspaceChunkFreeListSummary         108          2020
 jdk.GCReferenceStatistics                 108          1174
 jdk.GCPhasePauseLevel1                     88          3624
 jdk.JavaErrorThrow                         81          5835
 jdk.ThreadEnd                              70           652
 jdk.ThreadStart                            68           794
 jdk.ThreadAllocationStatistics             66           705
 jdk.SymbolTableStatistics                  59          2298
 jdk.StringTableStatistics                  59          2180
 jdk.ThreadContextSwitchRate                58           694
 jdk.GCHeapSummary                          54          2205
 jdk.MetaspaceSummary                       54          2784
 jdk.G1HeapSummary                          54          1329
 jdk.InitialSecurityProperty                49          2512
 jdk.StringFlag                             41          1270
 jdk.OldObjectSample                        35          1151
 jdk.InitialEnvironmentVariable             30          1806
 jdk.IntFlag                                30          1128
 jdk.G1MMU                                  28           383
 jdk.GCCPUTime                              28           417
 jdk.GCPhasePause                           28           655
 jdk.GarbageCollection                      27           593
 jdk.YoungGarbageCollection                 26           342
 jdk.G1GarbageCollection                    26           342
 jdk.EvacuationInformation                  26           711
 jdk.G1EvacuationYoungStatistics            26           939
